,Median,5th % (Downside),95th % (Upside),ROI (Median),CAGR (Median),Prob(Loss),p(> $1M)
CFO Policy (Target 8%),691635.5601361187,80479.20404464612,7984037.3643328855,591.6355601361187,0.10152375071615993,0.07166666666666667,0.3953333333333333
100% VOO (Fixed),459417.2867193448,135783.4687963311,1402126.3994347297,359.4172867193448,0.07922094824351755,0.017,0.14133333333333334
100% VOO (Rebalanced: Annual),452756.81779144495,140625.02799593596,1405951.873526004,352.756817791445,0.07843320152282907,0.021333333333333333,0.129
70% AI / 30% Crypto (Rebalanced: Annual),443214.4478033672,28568.566303576605,7901363.35056154,343.21444780336725,0.07728520496906643,0.19166666666666668,0.31766666666666665
40% AI / 60% VOO (Rebalanced: Annual),433431.0609436441,108258.34206766645,1652909.5266607264,333.4310609436441,0.07608357260536969,0.04,0.16166666666666665
40% AI / 60% VOO (Fixed),429812.5465157052,113879.45853643598,1807186.0506990089,329.8125465157052,0.07563259553349466,0.034666666666666665,0.161
AI Blend (Fixed),330951.86218292365,45152.129862794936,2407206.0626466633,230.95186218292366,0.06166681212673719,0.16533333333333333,0.18333333333333332
AI Blend (Rebalanced: Annual),326352.27417262376,42650.515930446905,2334745.6105046654,226.35227417262377,0.06092414200449703,0.17033333333333334,0.178
70% AI / 30% Crypto (Fixed),263885.29723636666,35538.89944795597,2854092.6187463743,163.88529723636665,0.04971344471648598,0.219,0.16733333333333333
60% Crypto / 40% AI (Rebalanced: Semi-Annual),184888.137722667,2652.5154601469685,13890163.161780424,84.88813772266698,0.031206050191567858,0.4033333333333333,0.25533333333333336
60% Crypto / 40% AI (Fixed),184056.9128783251,20628.249091341473,3650263.2112789685,84.05691287832508,0.030973747580157696,0.336,0.145
60% Crypto / 40% AI (Rebalanced: Monthly),171614.16902712293,2517.9043214509793,15229015.158371398,71.61416902712293,0.027371838670003257,0.42,0.25666666666666665
60% Crypto / 40% AI (Rebalanced: Quarterly),169456.16883186612,2546.5208752517874,14272038.049479868,69.45616883186612,0.026722002928777355,0.41333333333333333,0.246
60% Crypto / 40% AI (Rebalanced: Annual),167500.98540667474,3388.869030884939,14033627.35984652,67.50098540667473,0.026126416800434704,0.419,0.23733333333333334
70% Crypto / 30% AI (Fixed),155796.45925164624,16921.206949108542,4421119.730228684,55.79645925164625,0.02241656956409832,0.38166666666666665,0.131
70% Crypto / 30% AI (Rebalanced: Annual),111963.53487577062,1181.8431154109564,12513077.706845691,11.96353487577062,0.005666144758548208,0.483,0.22566666666666665
70% Crypto / 30% AI (Rebalanced: Quarterly),99782.292035627,850.5650029506437,11135557.954002228,-0.2177079643729929,-0.00010896670903659533,0.5003333333333333,0.21333333333333335
70% Crypto / 30% AI (Rebalanced: Monthly),98465.43297383108,745.8753614727586,13786032.51073202,-1.5345670261689204,-0.0007729328173033956,0.502,0.21566666666666667
70% Crypto / 30% AI (Rebalanced: Semi-Annual),95299.34138540561,878.6987447940886,9634173.010157714,-4.7006586145943885,-0.002404468938048132,0.5033333333333333,0.19533333333333333
100% BTC (Rebalanced: Annual),25528.49164660832,138.2992026173714,5924094.6315518785,-74.47150835339168,-0.06599057696749211,0.6733333333333333,0.12566666666666668
100% BTC (Fixed),23522.530563512395,100.43018441162984,5291219.497580692,-76.47746943648761,-0.06980456880172103,0.6693333333333333,0.12233333333333334
Crypto Blend (Fixed),7366.724624619854,13.794459588269769,4690279.24093726,-92.63327537538014,-0.12226438268910156,0.7246666666666667,0.111
Crypto Blend (Rebalanced: Annual),6372.769147433582,7.894308870341796,4277504.175392492,-93.62723085256643,-0.1286022999643579,0.763,0.10666666666666667
100% XRP (Fixed),3.6358826778464453,0.0002718890341547791,90124.8677592721,-99.99636411732216,-0.40016680922817627,0.9523333333333334,0.018666666666666668
100% XRP (Rebalanced: Annual),2.557358046259176,0.00017441972341537303,75054.52017225251,-99.99744264195374,-0.4106278950224197,0.9553333333333334,0.02033333333333333
